  c_sec  , code_cultu_c , code_cultu_s ,       s1_c       ,       s1_s       ,     s2_c      ,      s2_s      ,    tot_sai_c     ,    tot_sai_s     ,       pc_sau_c       ,       pc_sau_s       
 234-01  , C81          , C3           ,             5.91 ,             36.3 ,          3.23 ,           5.57 ,             9.14 ,            41.87 ,      1.3848275026136 ,     6.34384327510189
 233-02  , C81          , C3           ,             2.59 ,            50.32 ,0,           19.1 ,             2.59 ,            69.42 ,   0.0735996180776575 ,     1.97269709920888
 233-01  , C81          , C3           ,             0.96 ,            21.42 ,0,           13.5 ,             0.96 ,            34.92 ,     0.02310291385501 ,    0.840368491475987
 232-01  , C81          , C3           ,             4.54 ,100,0,          35.62 ,             4.54 ,           135.62 ,    0.105248516320475 ,     3.14400964391692
 231-07  , C81          , C3           ,            17.66 ,            72.54 ,          0.28 ,          18.22 ,            17.94 ,            90.76 ,    0.533868193478119 ,     2.70088501895619
 231-06  , C81          , C3           ,             6.23 ,            55.47 ,0,           2.59 ,             6.23 ,            58.06 ,    0.265121049249533 ,     2.47077497904139
 231-05  , C81          , C3           ,             3.89 ,            87.84 ,0,0,             3.89 ,            87.84 ,    0.164394445242704 ,     3.71218716455504
 231-04  , C81          , C3           ,             1.89 ,            37.27 ,0,           0.74 ,             1.89 ,            38.01 ,   0.0976648287765026 ,     1.96414822317189
 231-03  , C81          , C3           ,             1.77 ,             21.2 ,          0.19 ,          14.13 ,             1.96 ,            35.33 ,   0.0969543473636827 ,     1.74765157773414
 231-02  , C81          , C3           ,             4.12 ,             20.5 ,           0.4 ,          12.36 ,             4.52 ,            32.86 ,    0.188379643328985 ,     1.36950333623682
 231-01  , C81          , C3           ,0,            86.37 ,0,           3.39 ,0,            89.76 ,0,      2.0679073496413
 222-06  , C81          , C3           ,             0.16 ,           145.51 ,0,         213.03 ,             0.16 ,           358.54 ,     0.01009482829328 ,     22.6212483517038
 222-05  , C81          , C3           ,             0.11 ,            15.58 ,0,         176.44 ,             0.11 ,           192.02 ,   0.0221537470042092 ,     38.6723863613478
 222-04  , C81          , C3           ,             0.06 ,            19.66 ,0,         233.89 ,             0.06 ,           253.55 ,  0.00724200362100181 ,     30.6035003017502
 222-03  , C81          , C3           ,0,            15.78 ,0,           4.16 ,0,            19.94 ,0,     9.09588541191497
 222-02  , C81          , C3           ,             0.54 ,            19.55 ,0,          386.5 ,             0.54 ,           406.05 ,   0.0480923372875922 ,     36.1627658437534
 222-01  , C81          , C3           ,             0.31 ,            51.56 ,0,         587.41 ,             0.31 ,           638.97 ,   0.0176936599621013 ,     36.4700577612384
 221-09  , C81          , C3           ,             0.16 ,            99.14 ,0,           0.24 ,             0.16 ,            99.38 ,   0.0133451215240129 ,      8.2889886066025
 221-08  , C81          , C3           ,             0.07 ,           133.26 ,0,0,             0.07 ,           133.26 ,  0.00465323433023339 ,     8.85842866924146
 221-07  , C81          , C3           ,0,            83.51 ,0,          18.21 ,0,           101.72 ,0,     8.24231031018053
 221-06  , C81          , C3           ,0,             6.02 ,0,0,0,             6.02 ,0,     3.25863375554834
 221-05  , C81          , C3           ,             1.17 ,           191.29 ,0,           3.98 ,             1.17 ,           195.27 ,   0.0614708880179054 ,     10.2593335925268
 221-04  , C81          , C3           ,             0.23 ,            22.89 ,0,           0.05 ,             0.23 ,            22.94 ,    0.032782679342636 ,     3.26971593095683
 221-03  , C81          , C3           ,             0.12 ,             58.3 ,0,          25.34 ,             0.12 ,            83.64 ,   0.0115212903845231 ,     8.03033939801258
 221-02  , C81          , C3           ,             0.05 ,            49.92 ,0,           4.91 ,             0.05 ,            54.83 ,  0.00803225754630597 ,     8.80817362527912
 221-01  , C81          , C3           ,             1.35 ,           129.09 ,0,           6.53 ,             1.35 ,           135.62 ,     0.12852613840837 ,     12.9116406599579
 214-03  , C81          , C3           ,             0.15 ,            47.46 ,0,          13.14 ,             0.15 ,             60.6 ,   0.0177590452737261 ,     7.17465429058534
 214-02  , C81          , C3           ,             0.77 ,            12.57 ,0,          24.49 ,             0.77 ,            37.06 ,   0.0830466247478942 ,     3.99702326384021
 214-01  , C81          , C3           ,             0.97 ,            31.39 ,0,          98.25 ,             0.97 ,           129.64 ,   0.0750785615876407 ,     10.0342110558987
 213-04  , C81          , C3           ,             0.93 ,             0.25 ,0,           0.51 ,             0.93 ,             0.76 ,    0.135764441395016 ,    0.110947285441088
 213-03  , C81          , C3           ,             0.47 ,             2.87 ,0,           1.26 ,             0.47 ,             4.13 ,   0.0873800847772737 ,    0.767829255596044
 213-02  , C81          , C3           ,             3.67 ,            15.36 ,0,           2.29 ,             3.67 ,            17.65 ,    0.456257692355508 ,     2.19426383380782
 213-01  , C81          , C3           ,             1.25 ,             4.44 ,0,           0.48 ,             1.25 ,             4.92 ,    0.257737272933463 ,     1.01445390626611
 212-05  , C81          , C3           ,             1.31 ,            10.64 ,0,           0.09 ,             1.31 ,            10.73 ,    0.325263811297331 ,     2.66418373680944
 212-04  , C81          , C3           ,             1.37 ,            17.51 ,          0.15 ,          33.81 ,             1.52 ,            51.32 ,   0.0430978263951504 ,     1.45511871749942
 212-03  , C81          , C3           ,             2.79 ,             9.99 ,0,           1.83 ,             2.79 ,            11.82 ,    0.212855235552165 ,    0.901773793629602
 212-02  , C81          , C3           ,             1.88 ,            28.93 ,0,           1.78 ,             1.88 ,            30.71 ,    0.230375217508517 ,     3.76320368600348
 212-01  , C81          , C3           ,             1.96 ,            23.14 ,0,           1.53 ,             1.96 ,            24.67 ,    0.204283704205534 ,     2.57126478711762
 211-11  , C81          , C3           ,             0.16 ,            86.88 ,          0.01 ,          67.33 ,             0.17 ,           154.21 ,  0.00553217938579792 ,     5.01833754755234
 211-10  , C81          , C3           ,1,            41.37 ,0,           0.98 ,1,            42.35 ,    0.136377274091045 ,     5.77557755775578
 211-09  , C81          , C3           ,             0.31 ,            68.59 ,          0.03 ,           0.78 ,             0.34 ,            69.37 ,   0.0196149696833336 ,      4.0020307262731
 211-08  , C81          , C3           ,0,            18.21 ,0,           1.57 ,0,            19.78 ,0,     2.34961512876556
 211-07  , C81          , C3           ,             3.42 ,              0.9 ,0,0,             3.42 ,              0.9 ,    0.148446520187859 ,    0.039064873733647
 211-06  , C81          , C3           ,            0.405 ,           194.05 ,0,          68.75 ,            0.405 ,            262.8 ,   0.0253560807638128 ,     16.4532790734074
 211-05  , C81          , C3           ,             4.02 ,             12.1 ,0,0,             4.02 ,             12.1 ,     0.75225958569584 ,     2.26426392709444
 211-04  , C81          , C3           ,             1.21 ,            25.02 ,0,           20.2 ,             1.21 ,            45.22 ,    0.157893363259128 ,     5.90077511287418
 211-03  , C81          , C3           ,             2.82 ,           195.26 ,0,           3.54 ,             2.82 ,            198.8 ,    0.112020338444427 ,     7.89703662508937
 211-02  , C81          , C3           ,             0.83 ,            21.85 ,0,           0.88 ,             0.83 ,            22.73 ,    0.130069579389456 ,     3.56202595123174
 211-01  , C81          , C3           ,           15.205 ,            34.14 ,          0.12 ,          16.69 ,           15.325 ,            50.83 ,    0.595127141681035 ,     1.97391925687746
 152-05  , C81          , C3           ,0,             0.64 ,0,          13.91 ,0,            14.55 ,0,     5.17867312072893
 152-04  , C81          , C3           ,             2.28 ,            18.67 ,          0.74 ,           2.27 ,             3.02 ,            20.94 ,    0.732085717056143 ,     5.07611752157471
 152-03  , C81          , C3           ,0,              4.9 ,0,          13.05 ,0,            17.95 ,0,     4.41227078314734
 152-02  , C81          , C3           ,0,             7.16 ,0,           4.54 ,0,             11.7 ,0,     3.50603817686015
 152-01  , C81          , C3           ,             0.01 ,              2.3 ,0,           9.06 ,             0.01 ,            11.36 ,  0.00350054258410054 ,     3.97661637553821
 151-06  , C81          , C3           ,             0.09 ,            25.91 ,0,           0.49 ,             0.09 ,             26.4 ,  0.00750093761720215 ,      2.2002750343793
 151-05  , C81          , C3           ,0,             3.65 ,0,0,0,             3.65 ,0,     3.69582827055488
 151-04  , C81          , C3           ,             0.35 ,           108.76 ,0,0,             0.35 ,           108.76 ,  0.00824479988692845 ,     2.56201267343525
 151-03  , C81          , C3           ,             0.52 ,             44.2 ,0,           4.16 ,             0.52 ,            48.36 ,   0.0415856945210848 ,     3.86746959046088
 151-02  , C81          , C3           ,0,            21.96 ,0,           0.75 ,0,            22.71 ,0,     2.35357518537902
 151-01  , C81          , C3           ,              0.2 ,           212.14 ,0,0,              0.2 ,           212.14 ,   0.0116438495731074 ,      12.350631242195
 142-04  , C81          , C3           ,            71.86 ,           115.42 ,0,         552.38 ,            71.86 ,            667.8 ,     1.49717690689001 ,     13.9133695855991
 142-03  , C81          , C3           ,            62.47 ,            44.84 ,           5.8 ,         153.02 ,            68.27 ,           197.86 ,     5.53595900130554 ,      16.044307133416
 142-02  , C81          , C3           ,            55.39 ,            49.12 ,         11.12 ,           47.1 ,            66.51 ,            96.22 ,     2.41161753508104 ,      3.4888864715907
 142-01  , C81          , C3           ,            72.59 ,            41.37 ,          4.38 ,         105.94 ,            76.97 ,           147.31 ,     3.36887348232184 ,      6.4475607727794
 141-06  , C81          , C3           ,            67.49 ,           795.29 ,         13.25 ,          51.28 ,            80.74 ,           846.57 ,     1.20108951940056 ,     12.5935887346907
 141-05  , C81          , C3           ,             0.75 ,           152.02 ,0,           63.9 ,             0.75 ,           215.92 ,   0.0189246747479233 ,     5.44828769542881
 141-04  , C81          , C3           ,            63.31 ,             76.2 ,0,         304.17 ,            63.31 ,           380.37 ,     1.87157080692461 ,     11.2445014662757
 141-03  , C81          , C3           ,            63.51 ,            12.74 ,          1.18 ,            0.5 ,            64.69 ,            13.24 ,     1.96669777792641 ,     0.40252092409562
 141-02  , C81          , C3           ,             6.85 ,           126.92 ,0,           0.21 ,             6.85 ,           127.13 ,    0.603609319375419 ,     11.2024602587149
 141-01  , C81          , C3           ,            52.23 ,             2.89 ,          0.13 ,           0.25 ,            52.36 ,             3.14 ,     3.40803322116417 ,    0.204377851689372
 135-01  , C81          , C3           ,            64.78 ,           300.08 ,          2.44 ,         181.78 ,            67.22 ,           481.86 ,    0.436787061434146 ,     3.13106535886131
 134-05  , C81          , C3           ,           168.86 ,           107.59 ,        177.22 ,         178.15 ,           346.08 ,           285.74 ,     6.57600465154282 ,     5.42946015121314
 134-04  , C81          , C3           ,            69.88 ,           100.89 ,0,           1.18 ,            69.88 ,           102.07 ,     2.14592801867092 ,     3.13444294312738
 134-03  , C81          , C3           ,            53.08 ,            61.74 ,          2.79 ,           3.39 ,            55.87 ,            65.13 ,     2.02488429491477 ,     2.36049246693752
 134-02  , C81          , C3           ,             5.32 ,             0.03 ,0,0,             5.32 ,             0.03 ,     3.63387978142077 ,   0.0204918032786885
 134-01  , C81          , C3           ,              0.5 ,           1056.9 ,0,          16.27 ,              0.5 ,          1073.17 ,     0.02269457191229 ,     48.7102674782246
 133-05  , C81          , C3           ,             7.32 ,           260.93 ,          1.69 ,         552.08 ,             9.01 ,           813.01 ,    0.267857408293769 ,     24.1698947299575
 133-04  , C81          , C3           ,             0.04 ,            43.06 ,0,          47.43 ,             0.04 ,            90.49 ,  0.00350437608964194 ,     7.92777480879248
 133-03  , C81          , C3           ,            14.67 ,           341.36 ,          9.65 ,          79.72 ,            24.32 ,           421.08 ,     0.44338217465101 ,     7.67678314564338
 133-02  , C81          , C3           ,            129.2 ,            67.29 ,         16.23 ,          94.02 ,           145.43 ,           161.31 ,     10.2847888658656 ,     11.4078202018345
 133-01  , C81          , C3           ,            74.96 ,            74.25 ,         57.66 ,         427.17 ,           132.62 ,           501.42 ,     7.19294915254237 ,     27.1956610169492
 132-04  , C81          , C3           ,0,           221.91 ,0,           0.76 ,0,           222.67 ,0,     8.54697245945687
 132-03  , C81          , C3           ,0,           201.61 ,0,          17.05 ,0,           218.66 ,0,     11.1130875843036
 132-02  , C81          , C3           ,             33.6 ,           306.68 ,          7.98 ,         217.33 ,            41.58 ,           524.01 ,     1.84367351282324 ,     23.2348089815899
 132-01  , C81          , C3           ,            12.63 ,           216.61 ,           4.1 ,         212.15 ,            16.73 ,           428.76 ,    0.575822345211175 ,     14.7572975931108
 131-10  , C81          , C3           ,2,             45.8 ,          0.63 ,           1.76 ,             2.63 ,            47.56 ,    0.422130555510971 ,     7.63366130041892
 131-09  , C81          , C3           ,             1.65 ,           148.18 ,          0.38 ,          92.71 ,             2.03 ,           240.89 ,    0.134031441267158 ,     15.9048442792344
